,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,184,5,1e-07,5,3.67589587992534e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
1,185,5,1e-07,5,1.7631814043754706e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
2,186,5,0.00014364618378199395,5,4.849980929239606e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
3,187,5,1e-07,5,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
4,188,5,2.8034595876128702e-05,2,1.1923723033581662e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
5,189,5,0.05,2,1.2447201959609382e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
6,190,5,1e-07,5,3.886314179816927e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
7,191,5,1e-07,2,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
8,12,5,1e-07,2,4.721176176654285e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
9,14,5,1e-07,5,3.042099655789244e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
10,17,5,1e-07,2,0.0001455710899203009,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
11,176,5,1e-07,5,1.075286470866465e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
12,177,5,0.05,5,7.735660631966454e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
13,178,5,0.05,5,6.508903448637918e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
14,179,5,0.05,2,5.444843720711552e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
15,180,5,1e-07,5,6.115950172418039e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
16,181,5,0.05,2,3.502811678042771e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
17,182,5,0.05,5,2.7735950262057133e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
18,183,5,1e-07,5,0.00010110913995432127,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
19,24,5,0.008027505510592755,5,1.586017707613612e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
20,29,5,0.05,2,2.7770266196703033e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
21,30,5,0.00666132284489181,2,1.2109515690482924e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
22,31,5,1e-07,2,3.530137311335983e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
23,168,5,1.8274831642213067e-07,5,2.289524987070294e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
24,169,5,1e-07,2,8.539260065874205e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
25,170,5,0.05,2,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
26,171,5,0.05,5,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
27,172,5,1.1690383118411902e-06,5,8.452534911257102e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
28,173,5,0.05,5,1.3899794091568934e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
29,174,5,0.05,5,2.738683518627745e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
30,175,5,1.0727456953313791e-07,2,7.28357697082859e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
31,32,5,0.05,5,0.0001003487818247901,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
32,33,5,1e-07,5,0.00019143476736695433,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
33,34,5,0.05,5,1.626381033683926e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
34,36,5,1.2561237699912493e-05,5,3.8616547785638766e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
35,37,5,1e-07,5,2.2250255135118366e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
36,39,5,0.014956588317336351,2,3.058724049900696e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
37,40,5,1e-07,2,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
38,41,5,0.05,5,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
39,43,5,0.05,2,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
40,46,5,1e-07,5,1e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
41,47,5,4.512569811156943e-05,5,5.98352712733723e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
42,49,5,0.05,2,0.00012532969291393105,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
43,50,5,1e-07,2,1.7667028729393764e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
44,51,5,0.05,2,4.614330913960838e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
45,54,5,3.75030073041818e-05,2,1.62653122750424e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
46,55,5,0.0004584246446135511,5,4.703896826265297e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
47,160,5,0.05,2,5.980222226687303e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
48,162,5,1e-07,2,2.3346079672100467e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
49,163,5,0.05,5,8.047895271487426e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
50,164,5,1e-07,5,1.4245000847468834e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
51,165,5,4.7634441224440486e-05,2,3.1980595786087656e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
52,166,5,0.05,5,4.314165446470078e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
53,167,5,5.6866592214447356e-05,2,8.545045091795197e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
54,56,5,1e-07,2,1.1459916563710143e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
55,57,5,0.0011952975466840783,2,1.095439396094415e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
56,60,5,1e-07,5,8.252835314469547e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
57,62,5,1e-07,2,5.480523322645547e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
58,63,5,1e-07,5,1.9941994044957424e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
59,64,5,1e-07,5,1.1280414021054157e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
60,65,5,0.04999999999999994,5,6.249055872388381e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
61,67,5,4.2566825899739954e-05,2,2.5197934275230085e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
62,68,5,1e-07,5,8.0496141017454e-05,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
63,69,5,0.05,5,2.0454650893358796e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
64,70,5,0.05,5,3.4676198521622725e-06,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
65,71,5,0.00020191877342068954,2,5.955005531087782e-07,mae,auto,False,0.922449469759422,r2_score,maximize,0.9315689210208692
