,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
0,184,5,6.168674148457081e-05,10,1.3441064636194962e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
1,185,5,0.0004647988675284344,10,1.1331400429715532e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
2,186,5,0.0002478531314001246,10,9.791270708825099e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
3,187,5,1.0314019352726e-06,10,3.936968622711719e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
4,188,5,8.215465668534397e-05,10,1.447285829449564e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
5,189,5,1e-07,10,1e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
6,190,5,0.04999999999999994,10,1.6801238902286365e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
7,191,5,0.0031913781120800084,10,1.5702167881956966e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
8,176,5,0.000620974700744373,10,9.33466873405923e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
9,177,5,0.027792895982133116,10,2.4402068847055427e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
10,178,5,0.0031747653053660102,10,1.4640713124809968e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
11,180,5,6.815810254141955e-05,10,1.677848711375118e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
12,181,5,3.773432116720244e-07,10,1.1064403724903906e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
13,182,5,0.008667884559285039,10,1.2590240460540406e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
14,183,5,0.044746815743735256,10,6.213148428231346e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
15,16,5,1e-07,10,1e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
16,168,5,0.0010703517064247106,10,1.0154857866144593e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
17,169,5,1.7026924615067567e-07,10,2.2223671475020996e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
18,170,5,1.5385824055613978e-05,10,4.089871150431676e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
19,171,5,3.3188746283024314e-06,10,9.194107159918423e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
20,172,5,1.7874306807549115e-06,10,1.3141963165907348e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
21,173,5,8.124357030185019e-07,10,2.5419783821589674e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
22,174,5,6.054456289256738e-06,10,1.4192221567763085e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
23,175,5,2.98301084119782e-06,10,3.365845167719234e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
24,29,5,0.05,10,1e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
25,30,5,1e-07,10,1.5627104108500806e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
26,31,5,3.820161681227399e-05,10,7.283413700895754e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
27,38,5,1e-07,10,1.387789001084997e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
