,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
0,184,5,0.00017617091891257818,2,9.441633135303398e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
1,186,5,5.691667386142447e-06,5,2.5111761335432254e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
2,187,5,0.05,2,4.207414607560672e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
3,188,5,0.05,5,8.583962979738447e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
4,189,5,1.2678818127817155e-07,2,2.716115951185102e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
5,190,5,1e-07,5,9.57363438669297e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
6,191,5,0.0006492842977882206,2,3.0598604209761027e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
7,176,5,1e-07,2,1.8165033821571188e-05,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
8,177,5,1.592916764551678e-05,2,6.396703929856703e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
9,178,5,1.4487619670048064e-05,2,1.7974120024081204e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
10,179,5,1.2895030704367008e-05,5,4.265352619805565e-05,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
11,180,5,0.05,2,1.910474569936098e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
12,182,5,0.009470961448663797,5,2.9600671601144812e-05,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
13,183,5,1e-07,2,1.314595121189943e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
14,16,5,0.05,5,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
15,22,5,1e-07,5,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
16,168,5,1e-07,2,5.548429918262286e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
17,169,5,0.05,2,4.793778250137658e-05,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
18,170,5,1e-07,5,1.5441513424589157e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
19,171,5,1e-07,5,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
20,172,5,0.05,2,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
21,173,5,3.410070229483403e-05,2,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
22,174,5,1.8768701604648843e-05,5,1.1834613771996454e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
23,175,5,6.66352475421902e-07,2,2.3482267039448678e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
24,25,5,1e-07,2,5.871749948124717e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
25,34,5,7.997153195961695e-05,5,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
26,35,5,0.05,2,1e-07,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
27,160,5,0.03426597204379369,5,4.322339791167238e-06,mse,auto,False,0.9152105988628917,r2_score,maximize,0.9087397851884155,
