,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,184,5,0.05,5,3.822607513753083e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
1,185,5,1.0313427074729412e-07,5,8.166723856783943e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
2,186,5,1.1969102153905773e-07,2,1.7310032382511133e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
3,187,5,0.0003679220329289101,2,2.610375096877656e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
4,188,5,1e-07,2,2.500246786472509e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
5,189,5,1e-07,2,5.351276927987648e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
6,190,5,0.03514718953423549,5,1.1375945377276472e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
7,191,5,4.587451384690568e-05,5,2.4554219951505966e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
8,12,5,3.860178425805307e-07,5,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
9,13,5,0.05,5,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
10,20,5,0.00566495332044509,2,5.103627711525519e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
11,176,5,8.049380420762629e-06,2,8.251743197705884e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
12,177,5,2.5868981272428997e-06,5,3.4845343756818335e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
13,178,5,0.05,2,2.610273538087873e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
14,179,5,1e-07,5,1.2662651582940027e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
15,180,5,0.05,2,1.6368390941379882e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
16,181,5,1e-07,5,3.28677499578728e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
17,182,5,1.8115227479272464e-05,5,1.385253681500745e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
18,183,5,1e-07,2,1.137822214042857e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
19,29,5,0.00034074765035838365,5,1.0776233438436975e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
20,30,5,1e-07,2,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
21,168,5,0.0007435913465833664,2,2.7696319402979458e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
22,169,5,1e-07,2,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
23,170,5,1.4087184522186292e-05,2,4.570358357958649e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
24,171,5,0.05,2,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
25,172,5,0.00010926907287929173,2,8.825938012398254e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
26,173,5,1e-07,2,3.250373968484604e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
27,174,5,1e-07,5,1.3869103794593308e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
28,175,5,8.875151537780168e-06,5,4.030917357586499e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
29,33,5,1e-07,2,1.400199559217729e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
30,37,5,0.05,2,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
31,38,5,0.05,2,1.8389980551201941e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
32,39,5,7.964693593890695e-05,2,1.1827997197318763e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
33,41,5,1e-07,5,4.146061532138109e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
34,42,5,1e-07,2,4.145143540219139e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
35,43,5,0.05,5,4.7642297027385364e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
36,47,5,0.05,2,1.0317118536061295e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
37,160,5,1e-07,5,2.3071415367076543e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
38,161,5,0.05,5,1e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
39,162,5,1e-07,2,1.8179530624670813e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
40,163,5,1e-07,5,3.7273271436110265e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
41,164,5,2.7361149976108434e-05,5,2.397415106427931e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
42,165,5,1e-07,5,5.295399786536198e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
43,166,5,1.0082724455225504e-07,5,6.277280742423948e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
44,167,5,0.05,2,2.722992264931665e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
45,48,5,0.00012712497351406125,5,1.8161084330517828e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
46,51,5,1e-07,5,1.769118210018793e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
47,52,5,0.05,5,1.959780582284741e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
48,53,5,0.05,2,2.090322817914446e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
49,54,5,1e-07,5,1.0517971290246947e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
50,58,5,1.3561034091235224e-05,2,1.6536989514945893e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
51,59,5,1e-07,5,1.7839325491060065e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
52,60,5,7.716277354449959e-05,5,1.9540225501255965e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
53,61,5,4.942028533725263e-06,2,2.4399489514091456e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
54,152,5,0.05,2,1.3839261744724666e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
55,153,5,0.05,5,2.800830844847488e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
56,154,5,1e-07,2,5.55328972245936e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
57,155,5,1e-07,2,2.5862076922440315e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
58,156,5,2.7724538008411097e-05,5,8.320780135509693e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
59,157,5,0.00018961468524813144,2,1.239584187958819e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
60,158,5,7.122345485233499e-05,5,4.4965379334640974e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
61,159,5,0.00017817015451276333,2,2.1897835334889914e-07,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
62,64,5,1e-07,5,8.243987414599115e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
63,65,5,1e-07,5,4.8581010095719885e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
64,66,5,1e-07,2,9.183963017369851e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
65,67,5,0.05,2,7.793132666748389e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
66,68,5,0.04999999999999994,5,6.8882994121326985e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
67,71,5,3.9499610646646444e-05,2,6.0995933386345295e-06,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
68,72,5,0.05,5,1.8494565285551376e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
69,73,5,0.05,5,1.2533928589735475e-05,huber,auto,False,0.911791551754732,r2_score,maximize,0.9115893161100396
