,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,184,5,0.05,2,2.842118077336371e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
1,185,4,0.03186943872890709,2,1.6652891579586912e-05,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
2,186,5,0.0461654092677678,2,8.778484097994369e-06,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
3,187,4,0.031163923309429443,2,6.337955001860374e-06,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
4,188,4,0.0301995518125993,2,1.0267925120390967e-06,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
5,189,5,0.0314896260510617,2,2.5017541363711814e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
6,190,5,0.0314752344196473,2,1.1538754245524736e-05,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
7,191,5,0.04576806348462171,2,5.063092331887758e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
8,176,4,0.05,2,0.0001249656880559583,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
9,177,5,0.05,2,1.2962990736166982e-05,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
10,178,4,0.029901970199787003,2,3.676539551583453e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
11,179,4,0.04519885766410018,2,7.949809090379223e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
12,181,4,0.03059119902965219,2,2.8523141226994925e-06,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
13,182,4,0.03272957655777512,2,1e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
14,183,4,0.04593484250467364,2,0.0001347652046708897,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
15,16,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
16,20,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
17,21,5,0.05,2,3.2576183730371814e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
18,22,5,0.05,2,1.824218409918416e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
19,28,5,0.05,2,2.3675289493444524e-06,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
20,168,4,0.028294128059568,2,2.231837044441495e-06,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
21,169,4,0.029394088735160667,2,8.358184081867913e-06,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
22,172,4,0.03555534203064743,2,2.6892028980318094e-05,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
23,174,5,0.035939867739011366,2,1e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
24,175,4,0.029781915357481304,2,1e-07,gini,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
25,32,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
26,33,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
27,34,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
28,35,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
29,36,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
30,37,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
31,38,5,0.04999999999999994,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
32,39,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
33,40,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
34,41,5,0.05,2,1e-07,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
35,43,5,0.05,2,8.059661048513285e-06,log_loss,auto,False,0.9477275489253633,matthews_corrcoef,maximize,1.0
