,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,185,5,0.04999999999999994,2,1.7543885945891089e-06,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
1,186,5,1e-07,2,8.598713258954277e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
2,187,5,1e-07,2,4.3889921613022955e-06,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
3,188,5,0.05,2,9.044707823587277e-07,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
4,189,5,6.624779238040267e-05,2,8.79818502627818e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
5,190,5,0.00010477082760798693,2,4.020200474458799e-06,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
6,12,5,1.968536978188863e-05,2,6.747899908732202e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
7,15,4,0.00012035967187154357,2,6.526102662036624e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
8,177,5,1e-07,2,9.3035820159169e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
9,179,4,1e-07,2,0.00026967310725610504,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
10,180,5,0.0078020243178108725,2,4.928903243933321e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
11,16,5,0.00012674256312599877,2,9.564691343692323e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
12,17,4,0.00011681514940580562,2,0.00010610747067956967,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
13,18,4,0.00048505545381796695,2,8.826354709839662e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
14,20,5,1e-07,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
15,23,5,6.627063871748541e-05,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
16,168,4,9.454414461451676e-07,2,0.00045058375877922164,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
17,170,5,0.05,2,1.1540818018771626e-05,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
18,173,5,0.05,2,1.299337290541798e-07,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
19,174,4,0.05,2,3.3699188103622315e-06,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
20,175,4,0.05,2,4.72936526445296e-06,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
21,24,4,4.07029340035776e-06,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
22,26,5,2.6547577844875587e-06,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
23,27,4,1e-07,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
24,29,5,2.0281266200033277e-05,2,0.00014151991346200967,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
25,30,5,0.04999999999999994,2,1e-07,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
26,31,5,3.636158842726596e-05,2,9.802243922721997e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
27,32,5,0.003283275398330492,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
28,34,4,0.00018589277315002558,2,0.00010108121583981202,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
29,36,4,6.171573949213128e-07,2,1e-07,gini,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
30,38,5,3.6804177651567416e-05,2,9.849298805676372e-05,log_loss,auto,False,0.97219262709266,matthews_corrcoef,maximize,1.0
31,39,5,0.05,2,3.110410988623803e-07,gini,auto,False,0.972196428001605,matthews_corrcoef,maximize,1.0
