,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
0,184,5,1.208918747951112e-05,5,2.976719661623562e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
1,185,5,8.150049172349711e-06,5,1.1397879184425191e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
2,186,5,0.001538632632296447,5,4.1247660411620135e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
3,187,5,0.040037548578107776,5,2.5902237581796254e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
4,188,5,2.720827026901994e-07,5,5.962934901938916e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
5,189,5,1.3291699089556821e-07,5,2.291462340484576e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
6,190,5,0.0026507006652523426,5,2.000957179196097e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
7,191,5,0.000764987408546922,5,4.406749829321455e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
8,14,5,0.05,5,1e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
9,176,5,0.005852379621184008,5,1.8838516875289105e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
10,177,5,1.6738672849295525e-06,5,1.3787373325016664e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
11,178,5,0.0003132983262503525,5,1.0114775527933728e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
12,179,5,0.005147315815176354,5,3.7365373458561847e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
13,180,5,0.002413271380496305,5,1.5752429637624798e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
14,181,5,0.00016530762632632268,5,2.9098042728241833e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
15,182,5,0.001436113446908672,5,3.527811504528471e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
16,183,5,0.001432172037569468,5,1.597655748713657e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
