,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
0,184,5,0.05,2,2.6268806183429234e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
1,185,5,1.0130463200964588e-06,2,5.710292531230926e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
2,186,5,0.0012668523690984297,2,2.0579701787469057e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
3,187,5,1.0251994895196666e-07,2,1.7690064860561413e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
4,188,5,4.746739316295746e-06,2,2.8189324383481966e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
5,189,5,0.009135645182273841,2,9.941692259677813e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
6,190,5,0.029865100563567205,2,7.545973378537245e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
7,191,5,0.00012946484512375852,2,8.180449318526404e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
8,176,5,0.0015499917686038547,2,5.003787629007234e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
9,177,5,0.04482281802970703,2,1.8017403686997954e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
10,178,5,0.0015377319464283327,2,4.234450085653759e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
11,179,5,1e-07,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
12,180,5,0.039477534910519405,2,2.274007106293686e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
13,181,5,0.00017628546361242851,2,1.3695476977072876e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
14,21,5,5.29929095044194e-07,2,7.259613045733618e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
15,168,5,1e-07,2,1.5429109825657993e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
16,169,5,0.04467805867456374,2,1.495230319769289e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
17,170,5,1.0848982866083264e-07,2,3.2221682073976876e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
18,171,5,1e-07,2,8.376621282049603e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
19,172,5,8.477353109745064e-06,2,1.8071242532163293e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
20,173,5,8.212662385001038e-07,2,1.1677616187790291e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
21,174,5,1e-07,2,1.4105210602252096e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
22,175,5,1.2397822697352432e-07,2,4.86789009160111e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
23,29,5,0.05,2,1.913279478518909e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
24,30,5,0.05,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
25,32,5,0.00017427311022275173,2,5.464872234848669e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
26,160,5,0.0010005199283645667,2,4.1256784293918865e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
27,161,5,7.715565576706916e-06,2,2.6978536572271096e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
28,162,5,0.014367492557813244,2,4.217843880932412e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
29,163,5,9.383147122862885e-06,2,8.938629854104434e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
30,164,5,0.0015770217000830792,2,3.3253327597196787e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
31,165,5,1e-07,2,2.2037614326845883e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
32,166,5,0.001555205870273447,2,6.457306970713766e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
33,167,5,5.265420096892245e-05,2,3.9024217674521237e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
34,45,5,0.05,2,4.051997330362612e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
35,152,5,0.00026923582017485126,2,9.093557159141928e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
36,153,5,0.0025337849535952465,2,1.898421517329428e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
37,154,5,1.2214458865458323e-06,2,1.4918329789869286e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
38,155,5,5.751253329271465e-06,2,6.06574224936594e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
39,156,5,0.0011533228602909702,2,1.3963969623828118e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
40,157,5,0.004619138114460523,2,1.339178008975239e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
41,158,5,0.05,2,7.428813088855133e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
42,159,5,0.05,2,1.2924229108952276e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
43,49,5,0.05,2,5.000992796567943e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
44,50,5,0.002585185342497643,2,1.2194109491543626e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
45,51,5,1e-07,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
46,54,5,1e-07,2,1.3246344802763575e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
47,144,5,0.001666799251319235,2,2.239924590542078e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
48,145,5,4.298102894550252e-06,2,4.08149677491732e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
49,146,5,2.1779354452767147e-06,2,4.358441881848108e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
50,147,5,1e-07,2,2.265020030287348e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
51,148,5,0.05,2,3.2786118209262694e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
52,149,5,1.0856335822952805e-07,2,8.955354245897815e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
53,150,5,1e-07,2,3.186075907889531e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
