,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,184,5,0.05,5,0.0007820896804236105,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
1,185,5,0.005322517895220991,5,0.0006784951245155281,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
2,186,5,0.05,2,3.3076700009452e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
3,187,5,0.04999999999999994,2,7.642826691648333e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
4,188,5,0.05,10,3.3067724998352254e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
5,189,5,1e-07,2,2.703743054196297e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
6,190,5,1e-07,10,0.0004986771203115947,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
7,191,5,0.05,2,0.00013368818494008958,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
8,176,5,1e-07,5,3.39546408061138e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
9,177,5,0.00018462763673017318,2,3.5552224991789727e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
10,178,5,2.3330686696671936e-05,5,1.3047285307246174e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
11,179,5,1e-07,5,0.0007438418120899807,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
12,180,5,0.05,5,2.3259760869066252e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
13,181,5,0.05,10,8.664191101856538e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
14,182,5,0.05,10,1.548654012040629e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
15,183,5,9.044495833524443e-06,2,2.3539561977781232e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
16,19,5,1e-07,5,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
17,22,5,2.4098322696175534e-06,2,2.610803291826273e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
18,24,5,1e-07,2,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
19,27,5,0.00019872287755897246,2,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
20,29,5,0.004027859933638237,10,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
21,30,5,1.9412603396985997e-07,10,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
22,31,5,1e-07,5,1.0174681361635036e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
23,168,5,0.0001338684591108696,10,1.4260020943889823e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
24,169,5,1e-07,10,4.79113561360853e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
25,170,5,6.684152900267934e-05,5,3.3402290605171287e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
26,171,5,0.05,5,4.9290178911108914e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
27,172,5,1e-07,2,2.1880479495472733e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
28,173,5,1e-07,10,1.0948529305295939e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
29,174,5,0.0003118345811130021,2,0.0002760693141210287,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
30,175,5,0.05,10,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
31,32,5,0.0020083116667146067,5,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
32,33,5,0.00070988893471184,5,1.9039519253275162e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
33,34,5,1e-07,2,4.091299493677487e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
34,35,5,0.000103811978969109,10,1.7198103742303427e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
35,36,5,3.5586725781299034e-05,10,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
36,37,5,1.0541243957566694e-05,5,1.2669228378531261e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
37,38,5,3.962687734394481e-06,5,3.214108414526622e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
38,39,5,1.3035598929600237e-05,2,2.284765474568932e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
39,40,5,1.091166357819988e-05,5,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
40,41,5,1e-07,2,0.0007884164146472202,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
41,42,5,1e-07,10,7.993208154089152e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
42,43,5,1e-07,10,7.184896956744984e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
43,44,5,1e-07,5,0.0003306886879941421,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
44,45,5,0.04999999999999994,10,1.2920066668373863e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
45,46,5,1e-07,5,2.321313721295521e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
46,47,5,1e-07,2,8.244943231647172e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
47,48,5,0.05,2,1.1175208665068393e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
48,49,5,1e-07,2,3.9109629717260235e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
49,50,5,1e-07,5,3.3905303728760534e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
50,51,5,1e-07,2,0.00030411935946310766,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
51,52,5,0.05,10,3.521535361633712e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
52,53,5,0.04999999999999994,2,2.828023647327788e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
53,54,5,0.05,5,3.4129242566657995e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
54,55,5,0.04999999999999994,5,3.91264656374956e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
55,56,5,1e-07,5,8.985977094536215e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
56,57,5,0.05,10,4.767760915996216e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
57,58,5,1e-07,2,1.3747958284170291e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
58,59,5,1e-07,10,2.3530319369395843e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
59,60,5,0.05,2,6.761242197186635e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
60,61,5,0.05,2,2.230069720651397e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
61,62,5,1e-07,10,2.945801783016062e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
62,63,5,1e-07,10,1.63195753381145e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
63,65,5,1e-07,5,3.157895600918396e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
64,66,5,0.05,5,1.2045779950307557e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
65,67,5,0.04999999999999994,10,1.0412714275256795e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
66,68,5,0.05,5,3.213053496437184e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
67,69,5,1e-07,2,0.0005296361679738083,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
68,70,5,0.022802373265023008,2,2.3072981330339396e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
69,71,5,1e-07,2,0.00011152197892750058,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
70,72,5,6.452025007855784e-05,10,4.867727659461764e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
71,73,5,0.05,2,1e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
72,74,5,1e-07,5,0.0008870651937525384,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
73,75,5,0.05,10,2.7995347146198678e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
74,76,5,1e-07,10,0.00014887951331924693,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
75,77,5,9.032610354994892e-05,5,1.9188706961980102e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
76,78,5,1e-07,10,7.618095195992179e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
77,79,5,1e-07,5,0.0006218980221627447,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
78,80,5,1e-07,10,2.643577157261061e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
79,81,5,1.2780008223587985e-05,5,4.643368939000353e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
80,82,5,0.03748001320308025,5,9.45368328447702e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
81,83,5,1e-07,2,1.8336612583908522e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
82,84,5,0.0002518008089249526,5,5.799832933420196e-07,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
83,85,5,0.00012949122371067403,2,1.0110664159295505e-06,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
84,86,5,1e-07,10,0.0006567837313286379,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
85,87,5,0.05,10,0.0001326960069236676,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
86,88,5,0.05,5,0.0005405134944452278,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
87,89,5,0.05,5,0.00018504294581307782,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
88,90,5,0.05,2,0.00037645920586328664,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
89,91,5,0.0010605186281185382,10,0.0003961325748872096,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
90,92,5,0.05,2,9.435384996638449e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
91,93,5,0.00027191083880480853,5,0.00042269444479580787,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
92,94,5,0.0012048498225536346,2,0.0007817170902471122,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
93,95,5,0.05,5,7.755790952563184e-05,log_loss,auto,False,0.965063794659838,matthews_corrcoef,maximize,0.9646092730425463
