,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,131,4,1e-07,10,2.423425998479824e-07,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
1,132,4,1e-07,5,2.288886551845144e-05,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
2,133,4,1e-07,10,0.00016207957632223544,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
3,135,4,3.750693390294123e-06,2,3.987590623610796e-06,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
4,192,4,1.4144970337802164e-05,10,2.7793900703321507e-05,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
5,193,4,1.9078849216955227e-06,2,2.1908085109349745e-05,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
6,194,4,7.41358242089192e-06,10,1.3242048956169401e-05,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
7,195,4,8.679837474786816e-06,5,4.200314470547206e-05,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
8,15,4,9.7408633537752e-07,5,1e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
9,17,4,1e-07,2,6.603894238992935e-06,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
10,22,4,0.0020434519224421612,10,1e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
11,23,4,0.0008647947009009828,2,9.184041050367086e-06,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
12,177,4,1e-07,2,5.840128467916081e-06,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
13,178,4,8.677340164502841e-05,5,0.00026027690227087817,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
14,179,4,5.081198349553625e-06,2,0.0003412196983809028,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
15,180,4,6.735016339364827e-06,10,1e-07,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
16,181,4,9.67616059367155e-05,5,0.0006455913878355634,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
17,182,4,1e-07,10,4.145578186979225e-05,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
18,183,4,2.263674266774716e-06,10,0.000567636052932515,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
19,24,4,1e-07,10,1e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
20,26,4,1e-07,2,3.366289643922995e-05,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
21,27,4,1.242658238340294e-05,2,9.155997884938553e-06,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
22,28,4,1e-07,2,0.0007243537224251494,gini,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
23,29,4,1e-07,2,1e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
24,32,4,1.3430135525702924e-05,10,1e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
25,33,4,1e-07,2,6.092332480393225e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
26,37,4,1e-07,5,8.033784876466091e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
27,168,4,2.359155254101115e-05,2,9.115442729854964e-05,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
28,171,4,3.0973707427173053e-06,10,3.2535796241217355e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
29,172,4,2.596500136104778e-06,10,2.2567371240914812e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
30,173,4,1.0824336649817396e-05,2,0.0010932704665330992,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
31,174,4,0.00023304386848874774,10,1.1794739253843776e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
32,175,4,1e-07,5,1.563688575233793e-07,log_loss,auto,False,0.908335374785993,matthews_corrcoef,maximize,0.8983342457183077
