,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,199,5,0.0015574392604215032,5,0.00017995040363488193,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
1,119,5,5.827554968515502e-07,5,0.000424735834777139,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
2,120,5,1e-07,5,9.047015075244421e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
3,121,5,3.364392070216618e-05,5,5.674876568310065e-06,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
4,122,5,0.0013967913210155695,2,0.00032075690750903494,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
5,123,5,0.00012397496215468394,5,3.019165559290851e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
6,125,5,3.958269366258229e-05,5,7.324803113326784e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
7,126,5,7.098962508938862e-07,5,4.857127780547251e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
8,12,5,1e-07,2,0.00017443222686150343,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
9,17,5,1e-07,5,1e-07,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
10,23,5,1e-07,5,1.1523005684269337e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
11,176,5,0.0002138314963432546,5,1.897512458091704e-07,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
12,177,5,8.877274739407099e-05,5,1.4613373867263308e-07,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
13,178,5,0.0008426656353302952,5,0.00010861857178718277,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
14,180,5,0.00018741364521013894,5,4.215485576564573e-07,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
15,181,5,9.712224596727332e-07,5,9.426736225529997e-07,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
16,182,5,1.8416948773975797e-06,5,1.5835929816337404e-07,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
17,183,5,2.986296738572979e-06,5,3.731681094804354e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
18,168,5,0.0008827211151286734,5,2.6484824538902568e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
19,169,5,1.935257805915832e-06,5,0.00013610662988219123,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
20,170,5,5.8291197089083096e-06,2,0.0004322183755724723,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
21,171,5,0.00010009605252131664,5,1.513164709402536e-06,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
22,173,5,5.330850910814447e-06,5,1.896120888427979e-05,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
23,174,5,0.0002558337855920529,5,6.324314232346242e-06,gini,auto,False,0.9649940866958288,matthews_corrcoef,maximize,0.9631248699431451
