,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,184,4,2.7319951567851493e-05,2,0.029181517323732507,log_loss,auto,False,0.9707877947365586,matthews_corrcoef,maximize,0.9136793580700248
1,185,4,1e-07,2,0.0003002130851932615,log_loss,auto,False,0.9707877947365586,matthews_corrcoef,maximize,0.9136793580700248
2,186,3,0.05,2,1.3519468477633282e-05,gini,auto,False,0.9707877947365586,matthews_corrcoef,maximize,0.9136793580700248
3,187,3,0.04999999999999994,5,2.5067995082498173e-06,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
4,188,2,7.985068745653994e-05,2,3.603569296473855e-05,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
5,189,4,1e-07,5,1.7827363722659417e-05,log_loss,auto,False,0.9481827837172482,matthews_corrcoef,maximize,0.9136793580700248
6,190,5,1e-07,2,0.0013030821742825488,gini,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
7,191,2,1e-07,5,2.2339606713448551e-07,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
8,10,5,0.00011437044030871412,2,3.310179460641293e-05,log_loss,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
9,11,4,3.4515400887695604e-06,2,1.2501327018323372e-06,gini,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
10,13,5,1e-07,2,1e-07,gini,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
11,14,5,0.05,5,1e-07,log_loss,auto,False,0.9481827837172482,matthews_corrcoef,maximize,0.9136793580700248
12,15,5,1e-07,5,0.04999999999999994,log_loss,auto,False,0.9481827837172482,matthews_corrcoef,maximize,0.9136793580700248
13,18,5,1e-07,5,1e-07,log_loss,auto,False,0.9481827837172482,matthews_corrcoef,maximize,0.9136793580700248
14,19,4,1e-07,2,1e-07,log_loss,auto,False,0.9707877947365586,matthews_corrcoef,maximize,0.9136793580700248
15,20,4,1e-07,2,1e-07,gini,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
16,21,5,1e-07,2,1e-07,log_loss,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
17,22,4,0.05,2,1e-07,log_loss,auto,False,0.9707877947365586,matthews_corrcoef,maximize,0.9136793580700248
18,23,4,0.05,2,1e-07,gini,auto,False,1.0,matthews_corrcoef,maximize,0.9136793580700248
19,24,5,1e-07,5,8.155931805140593e-05,log_loss,auto,False,0.9481827837172482,matthews_corrcoef,maximize,0.9136793580700248
20,25,5,1e-07,2,0.05,log_loss,auto,False,0.9481827837172482,matthews_corrcoef,maximize,0.9136793580700248
