,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score
0,184,2,3.0883387932906297e-07,5,1.661651718585252e-05,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
1,185,2,0.003263477306026628,5,0.0036575617969083294,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
2,186,2,0.016796982359842616,5,0.0003729032866009514,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
3,187,2,7.544322145495843e-05,2,9.851488314381338e-07,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
4,188,5,0.00043742134204732705,5,0.007827348590583122,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
5,189,2,2.517835236778606e-07,5,1.2238863975204825e-07,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
6,190,2,8.920598213770967e-06,5,1.1333851956218113e-06,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
7,191,2,3.235063294223785e-07,10,0.004383590048723715,log_loss,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
8,8,5,1.2287177519591657e-07,10,0.016629680409859536,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
9,9,3,0.0011979245528732925,10,0.0008887887701971938,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
10,10,4,0.006276846352247186,10,0.014757429864274786,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
11,11,4,0.05,10,1e-07,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
12,12,5,0.05,10,1e-07,log_loss,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
13,13,2,0.05,2,1e-07,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
14,14,3,1e-07,5,1e-07,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
15,15,2,1e-07,5,1e-07,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
16,17,4,0.05,10,7.529327237159407e-05,log_loss,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
17,18,2,1e-07,2,1e-07,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
18,19,3,0.05,10,1e-07,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
19,20,5,1e-07,10,1e-07,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
20,21,5,1e-07,5,1e-07,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
21,22,2,1e-07,2,7.687441712430356e-05,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
22,23,4,1e-07,5,1e-07,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
23,24,4,1e-07,10,6.801678966270948e-05,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
24,25,5,0.05,10,0.05,log_loss,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
25,26,5,1e-07,10,6.300326789524317e-05,log_loss,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
26,27,5,0.05,10,7.07921730068427e-05,gini,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
27,28,5,1e-07,5,1e-07,gini,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
28,29,2,0.05,2,1.9216973430932503e-05,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
29,30,4,1e-07,10,0.05,log_loss,auto,False,0.898229949985783,matthews_corrcoef,maximize,0.9136793580700248
30,31,5,0.05,5,1e-07,log_loss,auto,False,0.9335993253932614,matthews_corrcoef,maximize,0.9136793580700248
