,SHAP,LIME,PFI,DECODE,DT
cap-shape,9,9,9,9,9
cap-surface,9,9,9,8,9
cap-color,9,9,9,9,9
bruises,9,9,9,6,9
odor,6,7,7,9,9
gill-attachment,9,9,9,9,9
gill-spacing,4,3,4,4,9
gill-size,1,1,1,2,4
gill-color,9,9,9,7,1
stalk-shape,7,8,9,9,6
stalk-root,3,6,3,9,5
stalk-surface-above-ring,2,2,2,3,9
stalk-surface-below-ring,9,9,9,9,9
stalk-color-above-ring,9,9,9,9,9
stalk-color-below-ring,9,9,9,5,9
veil-type,9,9,9,9,9
veil-color,8,4,6,9,9
ring-number,9,9,9,9,7
ring-type,5,5,5,9,9
spore-print-color,9,9,8,1,2
population,9,9,9,9,3
habitat,9,9,9,9,8
