,SHAP,LIME,PFI,DECODE,DT
cap-shape,6,6,6,6,6
cap-surface,6,6,6,6,6
cap-color,6,6,6,6,6
bruises,6,6,6,6,6
odor,3,6,2,5,4
gill-attachment,6,6,6,6,6
gill-spacing,2,1,3,6,6
gill-size,1,2,1,3,3
gill-color,6,6,6,2,2
stalk-shape,5,3,6,6,6
stalk-root,6,6,5,4,5
stalk-surface-above-ring,6,5,6,6,6
stalk-surface-below-ring,6,6,6,6,6
stalk-color-above-ring,6,6,6,6,6
stalk-color-below-ring,6,6,6,6,6
veil-type,6,6,6,6,6
veil-color,6,4,6,6,6
ring-number,6,6,6,6,6
ring-type,6,6,6,6,6
spore-print-color,4,6,4,1,1
population,6,6,6,6,6
habitat,6,6,6,6,6
