,SHAP,LIME,PFI,DECODE,DT
cap-shape,11,11,11,11,11
cap-surface,11,10,6,11,8
cap-color,5,11,4,9,10
bruises,11,11,11,11,11
odor,1,2,1,5,11
gill-attachment,11,11,11,11,11
gill-spacing,11,4,11,11,11
gill-size,3,1,8,4,4
gill-color,2,3,2,1,1
stalk-shape,11,8,11,11,6
stalk-root,8,11,5,7,5
stalk-surface-above-ring,7,5,11,11,11
stalk-surface-below-ring,11,11,11,10,11
stalk-color-above-ring,11,11,11,11,7
stalk-color-below-ring,11,11,11,11,11
veil-type,11,11,11,11,11
veil-color,11,6,11,11,11
ring-number,11,11,11,6,11
ring-type,10,11,7,11,11
spore-print-color,4,7,3,2,2
population,6,9,10,3,3
habitat,9,11,9,8,9
